SampleID	Sample number	Genotype_compartment	Genotype_compartment_inoculum	Genotype	Inoculum	Bio_rep	Cluster
MG89_2	257	MG89_RZ	MG89_RZ_SC	MG89	SC	two	three
MG90_2	258	MG90_RZ	MG90_RZ_SC	MG90	SC	two	one
MG91_2	259	MG91_RZ	MG91_RZ_SC	MG91	SC	two	one
MG92_2	260	MG92_RZ	MG92_RZ_SC	MG92	SC	two	one
MG93_2	261	MG93_RZ	MG93_RZ_SC	MG93	SC	two	one
MG94_2	262	MG94_RZ	MG94_RZ_SC	MG94	SC	two	one
MG95_2	263	MG95_RZ	MG95_RZ_SC	MG95	SC	two	one
MG96_2	264	MG96_RZ	MG96_RZ_SC	MG96	SC	two	one
MG97_2	265	MG97_RZ	MG97_RZ_SC	MG97	SC	two	one
MG98_2	266	MG98_RZ	MG98_RZ_SC	MG98	SC	two	one
MG99_2	267	MG99_RZ	MG99_RZ_SC	MG99	SC	two	one
MG100_2	268	MG100_RZ	MG100_RZ_SC	MG100	SC	two	one
MG101_2	269	MG101_RZ	MG101_RZ_SC	MG101	SC	two	one
MG102_2	270	MG102_RZ	MG102_RZ_SC	MG102	SC	two	one
MG103_2	271	MG103_RZ	MG103_RZ_SC	MG103	SC	two	one
MG104_2	272	MG104_RZ	MG104_RZ_SC	MG104	SC	two	one
MG105_2	273	MG105_RZ	MG105_RZ_SC	MG105	SC	two	one
MG106_2	274	MG106_RZ	MG106_RZ_SC	MG106	SC	two	one
MG107_2	275	MG107_RZ	MG107_RZ_SC	MG107	SC	two	one
MG109_2	276	MG109_RZ	MG109_RZ_SC	MG109	SC	two	one
MG110_2	277	MG110_RZ	MG110_RZ_SC	MG110	SC	two	one
MG111_2	278	MG111_RZ	MG111_RZ_SC	MG111	SC	two	one
MG112_2	279	MG112_RZ	MG112_RZ_SC	MG112	SC	two	one
MG113_2	280	MG113_RZ	MG113_RZ_SC	MG113	SC	two	one
MG115_2	281	MG115_RZ	MG115_RZ_SC	MG115	SC	two	one
MG116_2	282	MG116_RZ	MG116_RZ_SC	MG116	SC	two	one
MG117_2	283	MG117_RZ	MG117_RZ_SC	MG117	SC	two	one
MG118_2	284	MG118_RZ	MG118_RZ_SC	MG118	SC	two	one
MG119_2	285	MG119_RZ	MG119_RZ_SC	MG119	SC	two	one
MG120_2	286	MG120_RZ	MG120_RZ_SC	MG120	SC	two	one
MG121_2	287	MG121_RZ	MG121_RZ_SC	MG121	SC	two	one
MG122_2	288	MG122_RZ	MG122_RZ_SC	MG122	SC	two	one
MG123_2	289	MG123_RZ	MG123_RZ_SC	MG123	SC	two	one
MG124_2	290	MG124_RZ	MG124_RZ_SC	MG124	SC	two	two
MG125_2	291	MG125_RZ	MG125_RZ_SC	MG125	SC	two	two
MG126_2	292	MG126_RZ	MG126_RZ_SC	MG126	SC	two	two
MG127_2	293	MG127_RZ	MG127_RZ_SC	MG127	SC	two	three
MG128_2	294	MG128_RZ	MG128_RZ_SC	MG128	SC	two	three
MG129_2	295	MG129_RZ	MG129_RZ_SC	MG129	SC	two	three
MG130_2	296	MG130_RZ	MG130_RZ_SC	MG130	SC	two	three
MG131_2	297	MG131_RZ	MG131_RZ_SC	MG131	SC	two	three
MG132_2	298	MG132_RZ	MG132_RZ_SC	MG132	SC	two	three
MG133_2	299	MG133_RZ	MG133_RZ_SC	MG133	SC	two	three
MG134_2	300	MG134_RZ	MG134_RZ_SC	MG134	SC	two	three
MG135_2	301	MG135_RZ	MG135_RZ_SC	MG135	SC	two	three
MG136_2	302	MG136_RZ	MG136_RZ_SC	MG136	SC	two	zero
MG137_2	303	MG137_RZ	MG137_RZ_SC	MG137	SC	two	three
MG138_2	304	MG138_RZ	MG138_RZ_SC	MG138	SC	two	zero
MG139_2	305	MG139_RZ	MG139_RZ_SC	MG139	SC	two	three
MG140_2	306	MG140_RZ	MG140_RZ_SC	MG140	SC	two	three
MG141_2	307	MG141_RZ	MG141_RZ_SC	MG141	SC	two	three
MG142_2	308	MG142_RZ	MG142_RZ_SC	MG142	SC	two	three
MG143_2	309	MG143_RZ	MG143_RZ_SC	MG143	SC	two	three
MG144_2	310	MG144_RZ	MG144_RZ_SC	MG144	SC	two	three
MG145_2	311	MG145_RZ	MG145_RZ_SC	MG145	SC	two	three
MG146_2	312	MG146_RZ	MG146_RZ_SC	MG146	SC	two	three
MG148_2	313	MG148_RZ	MG148_RZ_SC	MG148	SC	two	three
MG149_2	314	MG149_RZ	MG149_RZ_SC	MG149	SC	two	three
MG150_2	315	MG150_RZ	MG150_RZ_SC	MG150	SC	two	three
MG151_2	316	MG151_RZ	MG151_RZ_SC	MG151	SC	two	zero
MG152_2	317	MG152_RZ	MG152_RZ_SC	MG152	SC	two	zero
MG154_2	318	MG154_RZ	MG154_RZ_SC	MG154	SC	two	three
MG156_2	319	MG156_RZ	MG156_RZ_SC	MG156	SC	two	three
MG162_2	320	MG162_RZ	MG162_RZ_SC	MG162	SC	two	three
MG163_2	321	MG163_RZ	MG163_RZ_SC	MG163	SC	two	three
MG170_2	322	MG170_RZ	MG170_RZ_SC	MG170	SC	two	three
MG172_2	323	MG172_RZ	MG172_RZ_SC	MG172	SC	two	three
MG176_2	324	MG176_RZ	MG176_RZ_SC	MG176	SC	two	three
MG187_2	325	MG187_RZ	MG187_RZ_SC	MG187	SC	two	three
MG188_2	326	MG188_RZ	MG188_RZ_SC	MG188	SC	two	three
MG196_2	327	MG196_RZ	MG196_RZ_SC	MG196	SC	two	three
MG198_2	328	MG198_RZ	MG198_RZ_SC	MG198	SC	two	zero
MG201_2	329	MG201_RZ	MG201_RZ_SC	MG201	SC	two	three
MG202_2	330	MG202_RZ	MG202_RZ_SC	MG202	SC	two	zero
MG203_2	331	MG203_RZ	MG203_RZ_SC	MG203	SC	two	zero
MG204_2	332	MG204_RZ	MG204_RZ_SC	MG204	SC	two	zero
MG205_2	333	MG205_RZ	MG205_RZ_SC	MG205	SC	two	zero
MG206_2	334	MG206_RZ	MG206_RZ_SC	MG206	SC	two	three
MG207_2	335	MG207_RZ	MG207_RZ_SC	MG207	SC	two	three
MG209_2	336	MG209_RZ	MG209_RZ_SC	MG209	SC	two	three
MG221_2	337	MG221_RZ	MG221_RZ_SC	MG221	SC	two	three
MG222_2	338	MG222_RZ	MG222_RZ_SC	MG222	SC	two	three
MG225_2	339	MG225_RZ	MG225_RZ_SC	MG225	SC	two	three
